Code,Name,Name2,FieldCount,IsDoor,IsStulp,PostType,OpeningPerField
D511,"Drzwi 2-skrzydłowe z naświetlem bocznym lewym","",3,Yes,No,Vertical Mullion,F1: DW-FIX | F2: DW-SC-L | F3: DW-SB-P
D512,"Drzwi  2-skrzydłowe z naświetlem bocznym prawym","",3,Yes,No,Vertical Mullion,F1: DW-SB-L | F2: DW-SC-P | F3: DW-FIX
DS100,"Drzwi serwisowe 1-skrzydłowe","",1,Yes,No,None (Single Field),F1: DW-P
DS200,"Drzwi serwisowe 2-skrzydłowe","",2,Yes,Yes,Vertical Mullion + Movable Post (Stulp),F1: DW-SB-L | F2: DW-SC-P
F100,"Okno 1 kwaterowe","",1,No,No,None (Single Field),F1: UR-P
F101,"Okno 1 kwaterowe","",1,No,No,None (Single Field),F1: UR-L
F102,"Okno 1 kwaterowe","",1,No,No,None (Single Field),F1: R-P
F102E,"Okno 1 kwaterowe","",1,No,No,None (Single Field),F1: R-Pz
F102P,"Okno 1 kwaterowe","",1,No,No,None (Single Field),F1: PR-R-Pz
F102Z,"Okno 1 kwaterowe","",1,No,No,None (Single Field),F1: R-Pz
F103,"Okno 1 kwaterowe","",1,No,No,None (Single Field),F1: R-L
F103E,"Okno 1 kwaterowe","",1,No,No,None (Single Field),F1: R-Lz
F103P,"Okno 1 kwaterowe","",1,No,No,None (Single Field),F1: PR-R-Lz
F103Z,"Okno 1 kwaterowe","",1,No,No,None (Single Field),F1: R-Lz
F104,"Okno 1 kwaterowe","",1,No,No,None (Single Field),F1: FIX
F105,"Okno 1 kwaterowe","",1,No,No,None (Single Field),F1: FIX-S
F105E,"Okno 1 kwaterowe","",1,No,No,None (Single Field),F1: FIX-Sz
F105P,"Okno 1 kwaterowe","",1,No,No,None (Single Field),F1: PR-FIX-Sz
F106,"Okno 1 kwaterowe","",1,No,No,None (Single Field),F1: U
F106P,"Okno 1 kwaterowe","",1,No,No,None (Single Field),F1: PR-Wz
F106Z,"Okno 1 kwaterowe","",1,No,No,None (Single Field),F1: PR-Wz
F150,"Balkon 1 kwaterowy","",1,No,No,None (Single Field),F1: UR-P
F151,"Balkon 1 kwaterowy","",1,No,No,None (Single Field),F1: UR-L
F152,"Balkon 1 kwaterowy","",1,No,No,None (Single Field),F1: R-P
F152E,"Balkon 1 kwaterowy","",1,No,No,None (Single Field),F1: R-Pz
F153,"Balkon 1 kwaterowy","",1,No,No,None (Single Field),F1: R-L
F153E,"Balkon 1 kwaterowy","",1,No,No,None (Single Field),F1: R-Lz
F200,"Okno 2 kw. słupek stały","",2,No,No,Vertical Mullion,F1: R-L | F2: UR-P
F200E,"Okno 2 kw. słupek stały","",2,No,No,Vertical Mullion,F1: R-Pz | F2: R-Lz
F201,"Okno 2 kw. słupek stały","",2,No,No,Vertical Mullion,F1: UR-L | F2: R-P
F202,"Okno 2 kw. słupek ruchomy","",2,No,Yes,Vertical Mullion + Movable Post (Stulp),F1: R-SBP-L | F2: UR-SC-P
F202E,"Okno 2 kw. słupek ruchomy","",2,No,Yes,Vertical Mullion + Movable Post (Stulp),F1: R-SBP-Pz | F2: R-SC-Lz
F203,"Okno 2 kw. słupek ruchomy","",2,No,Yes,Vertical Mullion + Movable Post (Stulp),F1: UR-SC-L | F2: R-SBP-P
F203E,"Okno 2 kw. słupek ruchomy","",2,No,Yes,Vertical Mullion + Movable Post (Stulp),F1: R-SC-Pz | F2: R-SBP-Lz
F204,"Okno 2 kw. słupek stały","",2,No,No,Vertical Mullion,F1: FIX | F2: UR-P
F204E,"Okno 2 kw. słupek stały","",2,No,No,Vertical Mullion,F1: FIX-Sz | F2: R-Lz
F205,"Okno 2 kw. słupek stały","",2,No,No,Vertical Mullion,F1: UR-L | F2: FIX
F205E,"Okno 2 kw. słupek stały","",2,No,No,Vertical Mullion,F1: R-Pz | F2: FIX-Sz
F206,"Okno 2 kw. słupek stały","",2,No,No,Vertical Mullion,F1: UR-L | F2: UR-P
F206P,"Okno 2 kwaterowe","",2,No,No,Vertical Mullion,F1: PR-R-Pz | F2: PR-R-Lz
F207,"Okno 2 kw. słupek stały","",2,No,No,Vertical Mullion,F1: FIX | F2: FIX
F207P,"Okno 2 kwaterowe","",2,No,No,Vertical Mullion,F1: PR-Wz | F2: PR-Wz
F208,"Okno 2 kw. słupek stały","",2,No,No,Transom,F1: FIX | F2: FIX
F208P,"Okno 2 kwaterowe","",2,No,No,Vertical Mullion,F1: PR-R-Pz | F2: PR-Wz
F209P,"Okno 2 kwaterowe","",2,No,No,Vertical Mullion,F1: PR-Wz | F2: PR-R-Lz
F210,"Balkon 2 kwaterowy","",2,No,No,Transom,F1: FIX | F2: UR-P
F220E,"Balkon 2 kwaterowy","",2,No,No,Transom,F1: FIX-Sz | F2: R-Pz
F221E,"Balkon 2 kwaterowy","",2,No,No,Transom,F1: FIX-Sz | F2: R-Lz
F250,"Okno 2 kwaterowe","",2,No,No,Transom,F1: FIX | F2: UR-P
F251,"Okno 2 kwaterowe","",2,No,No,Transom,F1: FIX | F2: UR-L
F252,"Okno 2 kwaterowe","",2,No,No,Transom,F1: UR-P | F2: FIX
F253,"Okno 2 kwaterowe","",2,No,No,Transom,F1: UR-L | F2: FIX
F254,"Okno 2 kwaterowe","",2,No,No,Transom,F1: UR-P | F2: UR-P
F254E,"Okno 2 kwaterowe","",2,No,No,Transom,F1: R-Pz | F2: R-Pz
F254P,"Okno 2 kwaterowe","",2,No,No,Transom,F1: PR-Wz | F2: PR-R-Pz
F255,"Okno 2 kwaterowe","",2,No,No,Transom,F1: UR-L | F2: UR-L
F255E,"Okno 2 kwaterowe","",2,No,No,Transom,F1: R-Lz | F2: R-Lz
F255P,"Okno 2 kwaterowe","",2,No,No,Transom,F1: PR-Wz | F2: PR-R-Lz
F256P,"Okno 2 kwaterowe","",2,No,No,Transom,F1: PR-Wz | F2: PR-FIX-Sz
F264P,"Okno 2 kwaterowe","",2,No,No,Transom,F1: PR-FIX-Sz | F2: PR-R-Pz
F265P,"Okno 2 kwaterowe","",2,No,No,Transom,F1: PR-FIX-Sz | F2: PR-R-Lz
F266P,"Okno 2 kwaterowe","",2,No,No,Transom,F1: PR-FIX-Sz | F2: PR-Wz
F270,"Balkon 2 kw. słupek ruchomy","",2,No,Yes,Vertical Mullion + Movable Post (Stulp),F1: R-SBP-L | F2: UR-SC-P
F270E,"Balkon 2 kw. słupek ruchomy","",2,No,Yes,Vertical Mullion + Movable Post (Stulp),F1: R-SBP-Pz | F2: R-SC-Lz
F271,"Balkon 2 kw. słupek ruchomy","",2,No,Yes,Vertical Mullion + Movable Post (Stulp),F1: UR-SC-L | F2: R-SBP-P
F271E,"Balkon 2 kw. słupek ruchomy","",2,No,Yes,Vertical Mullion + Movable Post (Stulp),F1: R-SC-Pz | F2: R-SBP-Lz
F272,"Balkon 2 kw. słupek stały","",2,No,No,Vertical Mullion,F1: R-L | F2: UR-P
F273,"Balkon 2 kw. słupek stały","",2,No,No,Vertical Mullion,F1: UR-L | F2: R-P
F274,"Balkon 2 kw. słupek stały","",2,No,No,Vertical Mullion,F1: UR-L | F2: UR-P
F280,"Balkon 2 kw. słupek stały naświetle boczne","",2,No,No,Vertical Mullion,F1: UR-L | F2: FIX
F281,"Balkon 2 kw. słupek stały naświetle boczne","",2,No,No,Vertical Mullion,F1: FIX | F2: UR-P
F282,"Balkon 2 kw. słupek stały naświetle boczne","",2,No,No,Vertical Mullion,F1: R-L | F2: FIX
F282E,"Balkon 2 kw. słupek stały","",2,No,No,Vertical Mullion,F1: R-Pz | F2: FIX-Sz
F283,"Balkon 2 kw. słupek stały naświetle boczne","",2,No,No,Vertical Mullion,F1: FIX | F2: R-P
F283E,"Balkon 2 kw. słupek stały","",2,No,No,Vertical Mullion,F1: FIX-Sz | F2: R-Lz
F284,"Balkon 3 kw. słupek stały naświetle boczne","",3,No,No,Vertical Mullion + Transom,F1: FIX | F2: UR-P | F3: FIX
F285,"Balkon 3 kw. słupek stały naświetle boczne","",3,No,No,Vertical Mullion + Transom,F1: UR-L | F2: FIX | F3: FIX
F300,"Okno 3 kw. słupek stały","",3,No,No,Vertical Mullion,F1: UR-L | F2: R-P | F3: UR-P
F300E,"Okno 3 kw. słupek stały","",3,No,No,Vertical Mullion,F1: R-Pz | F2: R-Lz | F3: R-Lz
F300P,"Okno 3 kwaterowe","",3,No,No,Vertical Mullion,F1: PR-R-Pz | F2: PR-R-Lz | F3: PR-R-Lz
F301,"Okno 3 kw. słupek stały","",3,No,No,Vertical Mullion,F1: UR-L | F2: R-L | F3: UR-P
F301E,"Okno 3 kw. słupek stały","",3,No,No,Vertical Mullion,F1: R-Pz | F2: R-Pz | F3: R-Lz
F301P,"Okno 3 kwaterowe","",3,No,No,Vertical Mullion,F1: PR-R-Pz | F2: PR-R-Pz | F3: PR-R-Lz
F302,"Okno 3 kw. słupek ruchomy","",3,No,Yes,Vertical Mullion + Movable Post (Stulp),F1: UR-SC-L | F2: R-SBP-P | F3: UR-P
F302E,"Okno 3 kw. słupek ruchomy","",3,No,Yes,Vertical Mullion + Movable Post (Stulp),F1: R-SC-Pz | F2: R-SBP-Lz | F3: R-Lz
F302P,"Okno 3 kwaterowe","",3,No,No,Vertical Mullion,F1: PR-R-Pz | F2: PR-FIX-Sz | F3: PR-R-Lz
F303,"Okno 3 kw. słupek ruchomy","",3,No,Yes,Vertical Mullion + Movable Post (Stulp),F1: UR-L | F2: R-SBP-L | F3: UR-SC-P
F303E,"Okno 3 kw. słupek ruchomy","",3,No,Yes,Vertical Mullion + Movable Post (Stulp),F1: R-Pz | F2: R-SBP-Pz | F3: R-SC-Lz
F304,"Okno 3 kw. słupek stały","",3,No,No,Vertical Mullion,F1: UR-L | F2: FIX | F3: UR-P
F304E,"Okno 3 kw. słupek stały","",3,No,No,Vertical Mullion,F1: R-Pz | F2: FIX-Sz | F3: R-Lz
F307,"Okno 3 kw. słupek stały","",3,No,No,Vertical Mullion,F1: FIX | F2: FIX | F3: FIX
F309,"Okno 3 kw. w pionie","",3,No,No,Transom,F1: FIX | F2: UR-P | F3: FIX
F309EI,"Okno 3 kw.","",3,No,No,Transom,F1: FIX | F2: FIX | F3: FIX
F350,"Okno 3 kw. słupek stały","",3,No,No,Transom + Vertical Mullion,F1: UR-L | F2: UR-P | F3: FIX
F351,"Okno 3 kw. słupek ruchomy","",3,No,No,Transom + Vertical Mullion,F1: R-SBP-L | F2: UR-SC-P | F3: FIX
F352,"Okno 3 kw. słupek stały","",3,No,No,Transom + Vertical Mullion,F1: FIX | F2: UR-L | F3: UR-P
F353,"Okno 3 kw. słupek ruchomy","",3,No,No,Transom + Vertical Mullion,F1: FIX | F2: R-SBP-L | F3: UR-SC-P
F354,"Okno 3 kw.","",3,No,No,Vertical Mullion + Transom,F1: FIX | F2: UR-L | F3: FIX
F355,"Okno 3 kw.","",3,No,No,Vertical Mullion + Transom,F1: FIX | F2: FIX | F3: UR-P
F357,"Okno 3 kw. słupek stały","",3,No,No,Transom + Vertical Mullion,F1: FIX | F2: FIX | F3: FIX
F358,"Okno 3 kw. słupek stały","",3,No,No,Transom + Vertical Mullion,F1: FIX | F2: FIX | F3: FIX
F370,"Balkon 3 kw. słupek stały","",3,No,No,Vertical Mullion,F1: UR-L | F2: R-P | F3: UR-P
F370EI,"Okno 3 kw.","",3,No,No,Vertical Mullion,F1: FIX | F2: FIX | F3: FIX
F371,"Balkon 3 kw. słupek stały","",3,No,No,Vertical Mullion,F1: UR-L | F2: R-L | F3: UR-P
F372,"Balkon 3 kw. słupek ruchomy","",3,No,Yes,Vertical Mullion + Movable Post (Stulp),F1: UR-SC-L | F2: R-SBP-P | F3: UR-P
F373,"Balkon 3 kw. słupek ruchomy","",3,No,Yes,Vertical Mullion + Movable Post (Stulp),F1: UR-L | F2: R-SBP-L | F3: UR-SC-P
F380,"Balkon 3 kw. słupek ruchomy","",3,No,Yes,Transom + Vertical Mullion + Movable Post (Stulp),F1: FIX | F2: R-SBP-L | F3: UR-SC-P
F380E,"Balkon 3 kw. słupek ruchomy","",3,No,Yes,Transom + Vertical Mullion + Movable Post (Stulp),F1: FIX-Sz | F2: R-SBP-Pz | F3: R-SC-Lz
F381E,"Balkon 3 kw. słupek ruchomy","",3,No,Yes,Transom + Vertical Mullion + Movable Post (Stulp),F1: FIX-Sz | F2: R-SC-Pz | F3: R-SBP-Lz
F384,"Balkon 3 kw. słupek stały","",3,No,No,Transom + Vertical Mullion,F1: FIX | F2: UR-L | F3: UR-P
F400,"Okno 4 kw. słupek stały","",4,No,No,Vertical Mullion,F1: UR-L | F2: R-L | F3: R-P | F4: UR-P
F401,"Okno 4 kw. słupek ruchomy na środku","",4,No,No,Vertical Mullion,F1: UR-L | F2: R-SBP-L | F3: UR-SC-P | F4: UR-P
F402,"Okno 4 kw. słupek ruchomy z lewej","",4,No,No,Vertical Mullion,F1: UR-SC-L | F2: R-SBP-P | F3: UR-P | F4: UR-P
F403,"Okno 4 kw. słupek ruchomy z prawej","",4,No,No,Vertical Mullion,F1: UR-L | F2: UR-L | F3: R-SBP-L | F4: UR-SC-P
F450,"Okno 4 kw.","",4,No,No,Transom + Vertical Mullion + Vertical Mullion,F1: UR-L | F2: UR-P | F3: FIX | F4: FIX
F450EI,"Okno 4 kw.","",4,No,No,Vertical Mullion + Transom + Transom,F1: FIX | F2: FIX | F3: FIX | F4: FIX
F451,"Okno 4 kw.","",4,No,Yes,Transom + Vertical Mullion + Vertical Mullion + Movable Post (Stulp),F1: R-SBP-L | F2: UR-SC-P | F3: FIX | F4: FIX
F452,"Okno 4 kw.","",4,No,No,Transom + Vertical Mullion + Vertical Mullion,F1: R-L | F2: UR-P | F3: R-L | F4: UR-P
F453,"Okno 4 kw.","",4,No,No,Transom + Vertical Mullion + Vertical Mullion,F1: R-SBP-L | F2: UR-SC-P | F3: R-SBP-L | F4: UR-SC-P
F457,"Okno 4 kw. słupek stały","",4,No,No,Vertical Mullion + Transom + Transom,F1: FIX | F2: FIX | F3: FIX | F4: FIX
FS202,"Drzwi harmonijkowe 2 kw. otw. na prawo","",2,Yes,No,Vertical Mullion,F1: FS-PWS | F2: FS-PW
FS202Z,"Drzwi harmonijkowe 2 kw. otw. na prawo","",2,Yes,No,Vertical Mullion,F1: FS-PZS | F2: FS-PZ
FS220,"Drzwi harmonijkowe 2 kw. otw. na lewo","",2,Yes,No,Vertical Mullion,F1: FS-LW | F2: FS-LWS
FS220Z,"Drzwi harmonijkowe 2 kw. otw. na lewo","",2,Yes,No,Vertical Mullion,F1: FS-LZ | F2: FS-LZS
FS303,"Drzwi harmonijkowe 3 kw. otw. na prawo","",3,Yes,No,Vertical Mullion,F1: FS-PW | F2: FS-PWS | F3: FS-PW
FS303Z,"Drzwi harmonijkowe 3 kw. otw. na prawo","",3,Yes,No,Vertical Mullion,F1: FS-PZ | F2: FS-PZS | F3: FS-PZ
FS312,"Drzwi harmonijkowe 3 kw. (1 kw. rozw + 2 kw. otw. na prawo)","",3,Yes,No,Vertical Mullion,F1: FS-R-LW | F2: FS-PWS | F3: FS-PW
FS312Z,"Drzwi harmonijkowe 3 kw. (1 kw. rozw + 2 kw. otw. na prawo)","",3,Yes,No,Vertical Mullion,F1: FS-R-LZ | F2: FS-PZS | F3: FS-PZ
FS321,"Drzwi harmonijkowe 3 kw. (2 kw. otw. na lewo + 1 kw. rozw.)","",3,Yes,No,Vertical Mullion,F1: FS-LW | F2: FS-LWS | F3: FS-R-PW
FS321Z,"Drzwi harmonijkowe 3 kw. (2 kw. otw. na lewo + 1 kw. rozw.)","",3,Yes,No,Vertical Mullion,F1: FS-LZ | F2: FS-LZS | F3: FS-R-PZ
FS330,"Drzwi harmonijkowe 3 kw. otw. na lewo","",3,Yes,No,Vertical Mullion,F1: FS-LW | F2: FS-LWS | F3: FS-LW
FS330Z,"Drzwi harmonijkowe 3 kw. otw. na lewo","",3,Yes,No,Vertical Mullion,F1: FS-LZ | F2: FS-LZS | F3: FS-LZ
FS404,"Drzwi harmonijkowe 4 kw. otw. na prawo","",4,Yes,No,Vertical Mullion,F1: FS-PWS | F2: FS-PW | F3: FS-PWS2 | F4: FS-PW
FS404Z,"Drzwi harmonijkowe 4 kw. otw. na prawo","",4,Yes,No,Vertical Mullion,F1: FS-PZS | F2: FS-PZ | F3: FS-PZS2 | F4: FS-PZ
FS413,"Drzwi harmonijkowe 4 kw. (1 kw. rozw + 3 kw. otw. na prawo)","",4,Yes,No,Vertical Mullion,F1: FS-R-LW | F2: FS-PWS | F3: FS-PWS | F4: FS-PW
FS413Z,"Drzwi harmonijkowe 4 kw. (1 kw. rozw + 3 kw. otw. na prawo)","",4,Yes,No,Vertical Mullion,F1: FS-R-LZ | F2: FS-PZS | F3: FS-PZS | F4: FS-PZ
FS422,"Drzwi harmonijkowe 4 kw. (2 kw. na lewo + 2 kw. na prawo)","",4,Yes,No,Vertical Mullion,F1: FS-LW | F2: FS-LWS | F3: FS-PWS | F4: FS-PW
FS422Z,"Drzwi harmonijkowe 4 kw. (2 kw. na lewo + 2 kw. na prawo)","",4,Yes,No,Vertical Mullion,F1: FS-LZ | F2: FS-LZS | F3: FS-PZS | F4: FS-PZ
FS431,"Drzwi harmonijkowe 4 kw. (3 kw. otw. na lewo + 1 kw. rozw.)","",4,Yes,No,Vertical Mullion,F1: FS-LW | F2: FS-LWS | F3: FS-LWS | F4: FS-R-PW
FS431Z,"Drzwi harmonijkowe 4 kw. (3 kw. otw. na lewo + 1 kw. rozw.)","",4,Yes,No,Vertical Mullion,F1: FS-LZ | F2: FS-LZS | F3: FS-LZS | F4: FS-R-PZ
FS440,"Drzwi harmonijkowe 4 kw. otw. na lewo","",4,Yes,No,Vertical Mullion,F1: FS-LW | F2: FS-LWS2 | F3: FS-LW | F4: FS-LWS
FS440Z,"Drzwi harmonijkowe 4 kw. otw. na lewo","",4,Yes,No,Vertical Mullion,F1: FS-LZ | F2: FS-LZS2 | F3: FS-LZ | F4: FS-LZS
FS505,"Drzwi harmonijkowe 5 kw. otw. na prawo","",99,Yes,No,Vertical Mullion,F1: FS-PW | F2: FS-PWS | F3: FS-PW | F4: FS-PWS2 | F5: FS-PW
FS505Z,"Drzwi harmonijkowe 5 kw. otw. na prawo","",99,Yes,No,Vertical Mullion,F1: FS-PZ | F2: FS-PZS | F3: FS-PZ | F4: FS-PZS2 | F5: FS-PZ
FS514,"Drzwi harmonijkowe 5 kw. (1 kw. rozw + 4 kw. otw. na prawo)","",99,Yes,No,Vertical Mullion,F1: FS-R-LW | F2: FS-PWS | F3: FS-PW | F4: FS-PWS2 | F5: FS-PW
FS514Z,"Drzwi harmonijkowe 5 kw. (1 kw. rozw + 4 kw. otw. na prawo)","",99,Yes,No,Vertical Mullion,F1: FS-R-LZ | F2: FS-PZS | F3: FS-PZ | F4: FS-PZS2 | F5: FS-PZ
FS523,"Drzwi harmonijkowe 5 kw. (2 kw. na lewo + 3 kw. na prawo)","",99,Yes,No,Vertical Mullion,F1: FS-LW | F2: FS-LWS | F3: FS-PW | F4: FS-PWS | F5: FS-PW
FS523Z,"Drzwi harmonijkowe 5 kw. (2 kw. na lewo + 3 kw. na prawo)","",99,Yes,No,Vertical Mullion,F1: FS-LZ | F2: FS-LZS | F3: FS-PZ | F4: FS-PZS | F5: FS-PZ
FS532,"Drzwi harmonijkowe 5 kw. (3 kw. na lewo + 2 kw. na prawo)","",99,Yes,No,Vertical Mullion,F1: FS-LW | F2: FS-LWS | F3: FS-LW | F4: FS-PWS | F5: FS-PW
FS532Z,"Drzwi harmonijkowe 5 kw. (3 kw. na lewo + 2 kw. na prawo)","",99,Yes,No,Vertical Mullion,F1: FS-LZ | F2: FS-LZS | F3: FS-LZ | F4: FS-PZS | F5: FS-PZ
FS541,"Drzwi harmonijkowe 5 kw. (4 kw. otw. na lewo + 1 kw. rozw.)","",99,Yes,No,Vertical Mullion,F1: FS-LW | F2: FS-LWS2 | F3: FS-LW | F4: FS-LWS | F5: FS-R-PW
FS541Z,"Drzwi harmonijkowe 5 kw. (4 kw. otw. na lewo + 1 kw. rozw.)","",99,Yes,No,Vertical Mullion,F1: FS-LZ | F2: FS-LZS2 | F3: FS-LZ | F4: FS-LZS | F5: FS-R-PZ
FS550,"Drzwi harmonijkowe 5 kw. otw. na lewo","",99,Yes,No,Vertical Mullion,F1: FS-LW | F2: FS-LWS2 | F3: FS-LW | F4: FS-LWS | F5: FS-LW
FS550Z,"Drzwi harmonijkowe 5 kw. otw. na lewo","",99,Yes,No,Vertical Mullion,F1: FS-LZ | F2: FS-LZS2 | F3: FS-LZ | F4: FS-LZS | F5: FS-LZ
FS606,"Drzwi harmonijkowe 6 kw. otw. na prawo","",99,Yes,No,Vertical Mullion,F1: FS-PWS3 | F2: FS-PW | F3: FS-PWS2 | F4: FS-PW | F5: FS-PWS | F6: FS-PW
FS606Z,"Drzwi harmonijkowe 6 kw. otw. na prawo","",99,Yes,No,Vertical Mullion,F1: FS-PZS3 | F2: FS-PZ | F3: FS-PZS2 | F4: FS-PZ | F5: FS-PZS | F6: FS-PZ
FS615,"Drzwi harmonijkowe 6 kw. (1 kw. rozw + 5 kw. otw. na prawo)","",99,Yes,No,Vertical Mullion,F1: FS-R-LW | F2: FS-PWS | F3: FS-PWS2 | F4: FS-PW | F5: FS-PWS | F6: FS-PW
FS615Z,"Drzwi harmonijkowe 6 kw. (1 kw. rozw + 5 kw. otw. na prawo)","",99,Yes,No,Vertical Mullion,F1: FS-R-LZ | F2: FS-PZS | F3: FS-PZS2 | F4: FS-PZ | F5: FS-PZS | F6: FS-PZ
FS624,"Drzwi harmonijkowe 6 kw. (2 kw. na lewo + 4 kw. na prawo)","",99,Yes,No,Vertical Mullion,F1: FS-LW | F2: FS-LWS | F3: FS-PWS2 | F4: FS-PW | F5: FS-PWS | F6: FS-PW
FS624Z,"Drzwi harmonijkowe 6 kw. (2 kw. na lewo + 4 kw. na prawo)","",99,Yes,No,Vertical Mullion,F1: FS-LZ | F2: FS-LZS | F3: FS-PZS2 | F4: FS-PZ | F5: FS-PZS | F6: FS-PZ
